Model,Aspect,Question ID,Responder_1,Responder_2,Responder_3,Responder_4,Responder_5,Average
Speakers,Adequacy,11,1,0,1,0,0,0.4
Origin,Intelligibility,12,0,1,1,0,0,0.4
Origin,Fluency,12,0,2,2,0,0,0.8
Origin,Adequacy,12,0,0,1,0,0,0.2
Speakers,Intelligibility,12,1,0,1,1,1,0.8
Speakers,Fluency,12,1,1,2,1,0,1
Speakers,Adequacy,12,1,0,1,2,0,0.8
Origin,Intelligibility,13,1,2,1,1,0,1
Origin,Fluency,13,1,1,2,1,0,1
Origin,Adequacy,13,1,2,2,2,0,1.4
Speakers,Intelligibility,13,0,1,1,0,0,0.4
Speakers,Fluency,13,1,1,1,0,1,0.8
Speakers,Adequacy,13,0,0,2,0,0,0.4
Origin,Intelligibility,14,1,1,2,0,0,0.8
Origin,Fluency,14,1,2,1,0,0,0.8
Origin,Adequacy,14,1,2,2,0,0,1
Speakers,Intelligibility,14,1,2,1,0,0,0.8
Speakers,Fluency,14,1,2,2,0,0,1
Speakers,Adequacy,14,0,2,1,0,0,0.6
Origin,Intelligibility,15,1,2,1,0,0,0.8
Origin,Fluency,15,1,2,2,0,0,1
Origin,Adequacy,15,0,2,2,0,0,0.8
Speakers,Intelligibility,15,0,0,1,0,0,0.2
Speakers,Fluency,15,0,0,1,0,0,0.2
Speakers,Adequacy,15,0,0,1,0,0,0.2
Origin,Intelligibility,16,0,1,1,0,0,0.4
Origin,Fluency,16,0,1,0,0,0,0.2
Origin,Adequacy,16,0,1,1,0,1,0.6
Speakers,Intelligibility,16,0,3,1,0,0,0.8
Speakers,Fluency,16,0,3,2,0,0,1
Speakers,Adequacy,16,0,2,2,0,0,0.8
Origin,Intelligibility,17,1,3,0,0,0,0.8
Origin,Fluency,17,0,3,1,0,0,0.8
Origin,Adequacy,17,0,3,0,0,0,0.6
Speakers,Intelligibility,17,1,3,1,0,1,1.2
Speakers,Fluency,17,1,2,2,0,0,1
Speakers,Adequacy,17,0,2,0,0,0,0.4
Origin,Intelligibility,18,2,2,1,0,2,1.4
Origin,Fluency,18,1,2,2,0,1,1.2
Origin,Adequacy,18,2,1,2,0,0,1
Speakers,Intelligibility,18,1,1,1,0,1,0.8
Speakers,Fluency,18,1,1,1,1,0,0.8
Speakers,Adequacy,18,1,1,1,1,0,0.8
Origin,Intelligibility,19,0,1,0,1,0,0.4
Origin,Fluency,19,1,1,2,1,0,1
Origin,Adequacy,19,0,1,2,1,0,0.8
Speakers,Intelligibility,19,0,2,1,0,0,0.6
Speakers,Fluency,19,0,2,2,0,0,0.8
Speakers,Adequacy,19,0,1,2,0,0,0.6
Origin,Intelligibility,20,1,1,2,1,1,1.2
Origin,Fluency,20,1,1,2,1,0,1
Origin,Adequacy,20,0,0,3,1,0,0.8
Speakers,Intelligibility,20,2,1,1,0,0,0.8
Speakers,Fluency,20,1,1,2,0,0,0.8
Speakers,Adequacy,20,1,0,2,0,0,0.6
Origin,Intelligibility,21,1,1,1,0,0,0.6
Origin,Fluency,21,1,1,1,0,0,0.6
Origin,Adequacy,21,1,0,0,0,0,0.2
Speakers,Intelligibility,21,2,0,1,0,1,0.8
Speakers,Fluency,21,0,0,2,0,0,0.4
Speakers,Adequacy,21,1,0,2,0,0,0.6
Origin,Intelligibility,22,2,3,1,0,0,1.2
Origin,Fluency,22,2,3,1,1,0,1.4
Origin,Adequacy,22,2,3,2,1,0,1.6
Speakers,Intelligibility,22,1,2,1,0,1,1
Speakers,Fluency,22,1,2,1,0,0,0.8
Speakers,Adequacy,22,0,2,2,0,0,0.8
Origin,Intelligibility,23,1,1,1,0,0,0.6
Origin,Fluency,23,0,1,1,0,0,0.4
Origin,Adequacy,23,0,0,0,0,0,0
Speakers,Intelligibility,23,2,2,1,1,0,1.2
Speakers,Fluency,23,2,1,2,1,0,1.2
Speakers,Adequacy,23,2,3,2,1,0,1.6
Origin,Intelligibility,24,2,1,2,0,2,1.4
Origin,Fluency,24,1,2,2,0,1,1.2
Origin,Adequacy,24,2,1,1,0,0,0.8
Speakers,Intelligibility,24,0,2,2,0,1,1
Speakers,Fluency,24,1,1,1,1,0,0.8
Speakers,Adequacy,24,0,0,2,0,0,0.4
Origin,Intelligibility,25,1,1,1,0,0,0.6
Origin,Fluency,25,1,0,1,0,0,0.4
Origin,Adequacy,25,0,1,0,0,0,0.2
Speakers,Intelligibility,25,2,1,1,0,0,0.8
Speakers,Fluency,25,1,1,2,0,0,0.8
Speakers,Adequacy,25,2,0,1,0,0,0.6
Origin,Intelligibility,26,2,1,2,1,0,1.2
Origin,Fluency,26,1,2,2,1,0,1.2
Origin,Adequacy,26,2,2,2,0,0,1.2
Speakers,Intelligibility,26,0,2,1,1,0,0.8
Speakers,Fluency,26,1,1,1,1,0,0.8
Speakers,Adequacy,26,0,1,1,1,0,0.6
Origin,Intelligibility,27,1,1,2,1,1,1.2
Origin,Fluency,27,1,1,2,1,0,1
Origin,Adequacy,27,0,0,2,2,0,0.8
Speakers,Intelligibility,27,1,3,1,0,0,1
Speakers,Fluency,27,0,1,2,0,0,0.6
Speakers,Adequacy,27,0,0,0,0,0,0
Origin,Intelligibility,28,1,2,1,0,0,0.8
Origin,Fluency,28,0,2,2,1,0,1
Origin,Adequacy,28,1,2,2,0,0,1
Speakers,Intelligibility,28,0,1,1,1,0,0.6
Speakers,Fluency,28,1,1,2,1,0,1
Speakers,Adequacy,28,0,0,0,1,0,0.2
Origin,Intelligibility,29,0,2,2,2,0,1.2
Origin,Fluency,29,0,1,2,1,0,0.8
Origin,Adequacy,29,0,3,3,2,0,1.6
Speakers,Intelligibility,29,0,2,2,0,0,0.8
Speakers,Fluency,29,0,2,1,0,0,0.6
Speakers,Adequacy,29,0,3,3,0,0,1.2
Origin,Intelligibility,30,0,2,1,0,0,0.6
Origin,Fluency,30,1,1,1,0,0,0.6
Origin,Adequacy,30,0,2,1,0,0,0.6
Speakers,Intelligibility,30,2,2,1,1,1,1.4
Speakers,Fluency,30,1,1,2,2,0,1.2
Speakers,Adequacy,30,2,1,2,2,0,1.4
Origin,Intelligibility,31,1,2,2,1,1,1.4
Origin,Fluency,31,1,2,2,1,1,1.4
Origin,Adequacy,31,0,2,3,1,0,1.2
Speakers,Intelligibility,31,0,0,0,0,1,0.2
Speakers,Fluency,31,0,0,1,0,0,0.2
Speakers,Adequacy,31,0,0,1,0,0,0.2
Origin,Intelligibility,32,2,1,2,0,1,1.2
Origin,Fluency,32,1,1,2,0,0,0.8
Origin,Adequacy,32,2,3,3,0,0,1.6
Speakers,Intelligibility,32,2,3,1,0,0,1.2
Speakers,Fluency,32,1,3,2,0,0,1.2
Speakers,Adequacy,32,2,4,3,0,0,1.8
Origin,Intelligibility,33,1,2,2,1,0,1.2
Origin,Fluency,33,1,2,2,1,0,1.2
Origin,Adequacy,33,1,1,2,1,0,1
Speakers,Intelligibility,33,0,3,1,0,0,0.8
Speakers,Fluency,33,1,3,2,0,0,1.2
Speakers,Adequacy,33,1,0,2,0,0,0.6
Origin,Intelligibility,34,0,1,1,1,0,0.6
Origin,Fluency,34,1,1,2,1,0,1
Origin,Adequacy,34,0,0,0,1,0,0.2
Speakers,Intelligibility,34,3,2,1,1,0,1.4
Speakers,Fluency,34,2,2,2,1,0,1.4
Speakers,Adequacy,34,3,1,2,1,0,1.4
Origin,Intelligibility,35,1,1,2,1,0,1
Origin,Fluency,35,1,1,2,1,0,1
Origin,Adequacy,35,2,2,2,1,0,1.4
Speakers,Intelligibility,35,0,2,1,1,0,0.8
Speakers,Fluency,35,1,1,2,1,0,1
Speakers,Adequacy,35,0,3,1,1,0,1
Origin,Intelligibility,36,0,2,1,0,1,0.8
Origin,Fluency,36,1,0,1,0,0,0.4
Origin,Adequacy,36,0,1,0,0,0,0.2
Speakers,Intelligibility,36,1,1,1,0,0,0.6
Speakers,Fluency,36,0,0,0,0,0,0
Speakers,Adequacy,36,1,2,0,0,0,0.6
Origin,Intelligibility,37,1,1,2,0,0,0.8
Origin,Fluency,37,1,1,1,0,0,0.6
Origin,Adequacy,37,1,0,0,0,0,0.2
Speakers,Intelligibility,37,1,3,1,0,0,1
Speakers,Fluency,37,0,0,0,0,0,0
Speakers,Adequacy,37,1,1,0,0,0,0.4
Origin,Intelligibility,38,1,2,1,1,0,1
Origin,Fluency,38,0,1,2,1,0,0.8
Origin,Adequacy,38,0,0,1,1,0,0.4
Speakers,Intelligibility,38,0,1,1,0,0,0.4
Speakers,Fluency,38,0,2,1,0,0,0.6
Speakers,Adequacy,38,0,0,0,0,0,0
Origin,Intelligibility,39,2,3,2,1,0,1.6
Origin,Fluency,39,1,2,2,2,0,1.4
Origin,Adequacy,39,2,1,3,3,0,1.8
Speakers,Intelligibility,39,0,0,1,0,0,0.2
Speakers,Fluency,39,0,0,1,0,0,0.2
Speakers,Adequacy,39,0,0,0,0,0,0
Origin,Intelligibility,40,0,1,1,0,1,0.6
Origin,Fluency,40,1,1,2,0,1,1
Origin,Adequacy,40,0,0,2,0,0,0.4
Speakers,Intelligibility,40,0,0,2,0,0,0.4
Speakers,Fluency,40,0,0,1,0,0,0.2
Speakers,Adequacy,40,0,0,3,0,0,0.6
Origin,Intelligibility,41,1,0,2,0,0,0.6
Origin,Fluency,41,1,1,2,0,0,0.8
Origin,Adequacy,41,1,0,2,0,0,0.6
Speakers,Intelligibility,41,0,3,1,0,1,1
Speakers,Fluency,41,0,2,2,0,0,0.8
Speakers,Adequacy,41,0,4,3,0,0,1.4
Origin,Intelligibility,42,1,1,1,0,0,0.6
Origin,Fluency,42,1,1,1,0,0,0.6
Origin,Adequacy,42,1,0,1,0,0,0.4
Speakers,Intelligibility,42,1,2,2,1,0,1.2
Speakers,Fluency,42,0,1,2,0,0,0.6
Speakers,Adequacy,42,1,1,3,1,0,1.2
Origin,Intelligibility,43,2,2,2,1,0,1.4
Origin,Fluency,43,1,2,2,1,0,1.2
Origin,Adequacy,43,2,0,2,2,0,1.2
Speakers,Intelligibility,43,1,2,2,0,0,1
Speakers,Fluency,43,0,0,1,0,0,0.2
Speakers,Adequacy,43,1,0,2,0,0,0.6
Origin,Intelligibility,44,0,1,1,1,0,0.6
Origin,Fluency,44,0,0,2,0,0,0.4
Origin,Adequacy,44,0,2,0,2,0,0.8
Speakers,Intelligibility,44,1,2,2,0,0,1
Speakers,Fluency,44,1,2,2,0,0,1
Speakers,Adequacy,44,1,3,2,0,0,1.2
Origin,Intelligibility,45,0,1,1,0,2,0.8
Origin,Fluency,45,0,1,2,0,2,1
Origin,Adequacy,45,0,0,1,0,0,0.2
Speakers,Intelligibility,45,0,2,1,0,0,0.6
Speakers,Fluency,45,0,0,1,0,0,0.2
Speakers,Adequacy,45,0,1,2,0,0,0.6
Origin,Intelligibility,46,1,2,1,1,0,1
Origin,Fluency,46,0,2,2,1,0,1
Origin,Adequacy,46,1,3,2,2,0,1.6
Speakers,Intelligibility,46,0,2,2,0,0,0.8
Speakers,Fluency,46,1,1,2,0,0,0.8
Speakers,Adequacy,46,0,2,3,0,0,1
Origin,Intelligibility,47,0,2,1,0,0,0.6
Origin,Fluency,47,0,2,2,0,0,0.8
Origin,Adequacy,47,0,2,0,0,0,0.4
Speakers,Intelligibility,47,0,2,1,1,0,0.8
Speakers,Fluency,47,1,2,2,1,0,1.2
Speakers,Adequacy,47,1,1,1,1,0,0.8
Origin,Intelligibility,48,1,1,1,2,1,1.2
Origin,Fluency,48,0,0,2,2,0,0.8
Origin,Adequacy,48,1,1,3,2,0,1.4
Speakers,Intelligibility,48,2,1,1,0,0,0.8
Speakers,Fluency,48,2,1,1,0,0,0.8
Speakers,Adequacy,48,2,0,1,0,0,0.6
Origin,Intelligibility,49,1,1,2,0,1,1
Origin,Fluency,49,1,1,2,0,0,0.8
Origin,Adequacy,49,1,2,3,0,0,1.2
Speakers,Intelligibility,49,0,1,1,0,0,0.4
Speakers,Fluency,49,0,1,2,0,0,0.6
Speakers,Adequacy,49,0,1,2,0,0,0.6
